,Coordinates
0,"(32.898902, -96.409765)"
1,"(32.893604, -95.784382)"
2,"(36.30744840000002, -100.10282659999997)"
3,"(36.06221020000002, -100.10282659999997)"
4,"(35.816972000000014, -101.08377939999998)"
5,"(35.816972000000014, -100.83854119999998)"
6,"(35.816972000000014, -100.59330299999998)"
7,"(35.57173380000001, -101.08377939999998)"
8,"(35.57173380000001, -100.83854119999998)"
9,"(35.57173380000001, -100.59330299999998)"
10,"(35.57173380000001, -100.34806479999997)"
11,"(35.57173380000001, -100.10282659999997)"
12,"(35.32649560000001, -102.8004468)"
13,"(35.32649560000001, -102.5552086)"
14,"(35.32649560000001, -102.3099704)"
15,"(35.32649560000001, -102.0647322)"
16,"(35.32649560000001, -101.81949399999999)"
17,"(35.32649560000001, -101.57425579999999)"
18,"(35.32649560000001, -101.32901759999999)"
19,"(35.32649560000001, -101.08377939999998)"
20,"(35.32649560000001, -100.83854119999998)"
21,"(35.32649560000001, -100.59330299999998)"
22,"(35.32649560000001, -100.34806479999997)"
23,"(35.32649560000001, -100.10282659999997)"
24,"(35.081257400000005, -102.8004468)"
25,"(35.081257400000005, -102.5552086)"
26,"(35.081257400000005, -102.3099704)"
27,"(35.081257400000005, -102.0647322)"
28,"(35.081257400000005, -101.81949399999999)"
29,"(35.081257400000005, -101.57425579999999)"
30,"(35.081257400000005, -101.32901759999999)"
31,"(35.081257400000005, -101.08377939999998)"
32,"(35.081257400000005, -100.83854119999998)"
33,"(35.081257400000005, -100.59330299999998)"
34,"(35.081257400000005, -100.34806479999997)"
35,"(35.081257400000005, -100.10282659999997)"
36,"(34.8360192, -103.045685)"
37,"(34.8360192, -102.8004468)"
38,"(34.8360192, -102.5552086)"
39,"(34.8360192, -102.3099704)"
40,"(34.8360192, -102.0647322)"
41,"(34.8360192, -101.81949399999999)"
42,"(34.8360192, -101.57425579999999)"
43,"(34.8360192, -101.32901759999999)"
44,"(34.8360192, -101.08377939999998)"
45,"(34.8360192, -100.83854119999998)"
46,"(34.8360192, -100.59330299999998)"
47,"(34.8360192, -100.34806479999997)"
48,"(34.8360192, -100.10282659999997)"
49,"(34.590781, -103.045685)"
50,"(34.590781, -102.8004468)"
51,"(34.590781, -102.5552086)"
52,"(34.590781, -102.3099704)"
53,"(34.590781, -102.0647322)"
54,"(34.590781, -101.81949399999999)"
55,"(34.590781, -101.57425579999999)"
56,"(34.590781, -101.32901759999999)"
57,"(34.590781, -101.08377939999998)"
58,"(34.590781, -100.83854119999998)"
59,"(34.590781, -100.59330299999998)"
60,"(34.590781, -100.34806479999997)"
61,"(34.590781, -100.10282659999997)"
62,"(34.45400800000003, -99.85758839999997)"
63,"(34.45400800000003, -99.61235019999997)"
64,"(34.45400800000003, -99.36711199999996)"
65,"(34.45400800000003, -98.63139739999995)"
66,"(34.45400800000003, -98.38615919999995)"
67,"(34.45400800000003, -98.14092099999995)"
68,"(34.45400800000003, -97.89568279999995)"
69,"(34.45400800000003, -97.65044459999994)"
70,"(34.45400800000003, -102.8004468)"
71,"(34.45400800000003, -102.5552086)"
72,"(34.45400800000003, -102.3099704)"
73,"(34.45400800000003, -102.0647322)"
74,"(34.45400800000003, -101.81949399999999)"
75,"(34.45400800000003, -101.57425579999999)"
76,"(34.45400800000003, -101.32901759999999)"
77,"(34.45400800000003, -101.08377939999998)"
78,"(34.45400800000003, -100.83854119999998)"
79,"(34.45400800000003, -100.59330299999998)"
80,"(34.45400800000003, -100.34806479999997)"
81,"(34.45400800000003, -100.10282659999997)"
82,"(34.20876980000003, -99.85758839999997)"
83,"(34.20876980000003, -99.61235019999997)"
84,"(34.20876980000003, -99.36711199999996)"
85,"(34.20876980000003, -99.12187379999996)"
86,"(34.20876980000003, -98.87663559999996)"
87,"(34.20876980000003, -103.045685)"
88,"(34.20876980000003, -101.81949399999999)"
89,"(34.20876980000003, -101.57425579999999)"
90,"(34.20876980000003, -101.32901759999999)"
91,"(34.20876980000003, -101.08377939999998)"
92,"(34.20876980000003, -100.83854119999998)"
93,"(34.20876980000003, -100.59330299999998)"
94,"(34.20876980000003, -100.34806479999997)"
95,"(34.20876980000003, -100.10282659999997)"
96,"(33.963531600000024, -99.85758839999997)"
97,"(33.963531600000024, -99.61235019999997)"
98,"(33.963531600000024, -99.36711199999996)"
99,"(33.963531600000024, -99.12187379999996)"
100,"(33.963531600000024, -98.87663559999996)"
101,"(33.963531600000024, -98.63139739999995)"
102,"(33.963531600000024, -98.38615919999995)"
103,"(33.963531600000024, -98.14092099999995)"
104,"(33.963531600000024, -97.65044459999994)"
105,"(33.963531600000024, -96.91472999999993)"
106,"(33.963531600000024, -95.93377719999992)"
107,"(33.963531600000024, -95.19806259999991)"
108,"(33.963531600000024, -101.81949399999999)"
109,"(33.963531600000024, -101.57425579999999)"
110,"(33.963531600000024, -101.32901759999999)"
111,"(33.963531600000024, -101.08377939999998)"
112,"(33.963531600000024, -100.83854119999998)"
113,"(33.963531600000024, -100.59330299999998)"
114,"(33.963531600000024, -100.34806479999997)"
115,"(33.963531600000024, -100.10282659999997)"
116,"(33.71829340000002, -99.85758839999997)"
117,"(33.71829340000002, -99.61235019999997)"
118,"(33.71829340000002, -99.36711199999996)"
119,"(33.71829340000002, -99.12187379999996)"
120,"(33.71829340000002, -98.87663559999996)"
121,"(33.71829340000002, -98.63139739999995)"
122,"(33.71829340000002, -98.38615919999995)"
123,"(33.71829340000002, -98.14092099999995)"
124,"(33.71829340000002, -97.89568279999995)"
125,"(33.71829340000002, -97.65044459999994)"
126,"(33.71829340000002, -97.40520639999994)"
127,"(33.71829340000002, -97.15996819999994)"
128,"(33.71829340000002, -96.91472999999993)"
129,"(33.71829340000002, -96.66949179999993)"
130,"(33.71829340000002, -96.42425359999993)"
131,"(33.71829340000002, -96.17901539999993)"
132,"(33.71829340000002, -95.93377719999992)"
133,"(33.71829340000002, -95.68853899999992)"
134,"(33.71829340000002, -95.44330079999992)"
135,"(33.71829340000002, -95.19806259999991)"
136,"(33.71829340000002, -94.95282439999991)"
137,"(33.71829340000002, -101.57425579999999)"
138,"(33.71829340000002, -101.32901759999999)"
139,"(33.71829340000002, -101.08377939999998)"
140,"(33.71829340000002, -100.83854119999998)"
141,"(33.71829340000002, -100.59330299999998)"
142,"(33.71829340000002, -100.34806479999997)"
143,"(33.71829340000002, -100.10282659999997)"
